全部频道,#genre#
杭州综合,http://125.120.36.143:4000/udp/233.50.201.173:5140
杭州西湖明珠,http://125.120.36.143:4000/udp/233.50.201.174:5140
杭州生活,http://125.120.36.143:4000/udp/233.50.201.175:5140
杭州影视,http://125.120.36.143:4000/udp/233.50.201.176:5140
杭州青少体育,http://125.120.36.143:4000/udp/233.50.201.177:5140
杭州导视,http://125.120.36.143:4000/udp/233.50.201.182:5140
杭州综合,http://36.24.229.200:4022/udp/233.50.201.173:5140
杭州西湖明珠,http://36.24.229.200:4022/udp/233.50.201.174:5140
杭州生活,http://36.24.229.200:4022/udp/233.50.201.175:5140
杭州影视,http://36.24.229.200:4022/udp/233.50.201.176:5140
杭州青少体育,http://36.24.229.200:4022/udp/233.50.201.177:5140
杭州导视,http://36.24.229.200:4022/udp/233.50.201.182:5140
浙江钱江都市,http://125.120.36.143:4000/udp/233.50.201.132:5140
浙江经济生活,http://125.120.36.143:4000/udp/233.50.201.133:5140
浙江教科影视,http://125.120.36.143:4000/udp/233.50.201.134:5140
浙江民生休闲,http://125.120.36.143:4000/udp/233.50.201.136:5140
浙江钱江都市,http://36.24.229.200:4022/udp/233.50.201.132:5140
浙江经济生活,http://36.24.229.200:4022/udp/233.50.201.133:5140
浙江教科影视,http://36.24.229.200:4022/udp/233.50.201.134:5140
浙江民生休闲,http://36.24.229.200:4022/udp/233.50.201.136:5140
浙江钱江都市,http://wzh3381.cn:4022/udp/233.50.201.132:5140
浙江教科影视,http://wzh3381.cn:4022/udp/233.50.201.134:5140
浙江经济生活,http://wzh3381.cn:4022/udp/233.50.201.133:5140
浙江民生休闲,http://wzh3381.cn:4022/udp/233.50.201.136:5140
萧山综合频道,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8
杭州综合,http://wzh3381.cn:4022/udp/233.50.201.173:5140
杭州西湖明珠,http://wzh3381.cn:4022/udp/233.50.201.174:5140
杭州生活,http://wzh3381.cn:4022/udp/233.50.201.175:5140
杭州影视,http://wzh3381.cn:4022/udp/233.50.201.176:5140
杭州导视,http://wzh3381.cn:4022/udp/233.50.201.182:5140
CCTV-1,http://125.120.36.143:4000/udp/233.50.201.118:5140
CCTV-1,http://36.24.229.200:4022/udp/233.50.201.118:5140
CCTV-8,http://125.120.36.143:4000/udp/233.50.201.199:5140
CCTV-8,http://36.24.229.200:4022/udp/233.50.201.199:5140
CCTV-1综合,http://wzh3381.cn:4022/udp/233.50.201.118:5140  
CCTV-8电视剧,http://wzh3381.cn:4022/udp/233.50.201.199:5140
浙江卫视,http://api.itv.itv888.cn:8080/hls/urjqjvyf41q/index.m3u8
浙江卫视,http://125.120.36.143:4000/udp/233.50.201.100:5140
浙江卫视,http://wzh3381.cn:4022/udp/233.50.201.100:5140
东方卫视,http://125.120.36.143:4000/udp/233.50.201.125:5140
东方卫视,http://wzh3381.cn:4022/udp/233.50.201.125:5140
北京卫视,http://api.itv.itv888.cn:8080/hls/h5uud1z84gn/index.m3u8
北京卫视,http://125.120.36.143:4000/udp/233.50.201.107:5140
北京卫视,http://wzh3381.cn:4022/udp/233.50.201.107:5140





